N,alpha,M,conc_succ_prob,kappa_med,sigma_rel_med,sigma_abs_med,max_w_95per,pos_prob,nan_prob
12,8.125,243,0.874,0.7619789617758648,64.84629514488168,0.6765690057591295,3.703991319511708,0.065,0.0
12,8.5,254,0.884,0.7619235226489113,68.90296687641454,0.6743904735649564,3.7741911591501074,0.069,0.0
12,8.875,265,0.904,0.761916209111096,63.337700978586405,0.6390449156678293,3.753026118873214,0.083,0.0
12,9.25,276,0.913,0.7618947873960633,72.13572985660895,0.631033050415507,3.757818116983375,0.064,0.0
12,9.625,288,0.915,0.7618986678131214,63.36493509721632,0.6059510247577318,3.717528816898926,0.074,0.0
12,10.0,299,0.95,0.7619142581011777,66.83574238322774,0.6080767992489415,3.6265477667775543,0.08,0.0
14,1.0,37,0.0,0.7959202799049451,431.3669932350631,2.89673492097213,12.413849625571961,0.002,0.0
14,1.375,51,0.0,0.7711414660714999,336.8807278691729,2.252800646695774,9.297841924275172,0.0,0.0
14,1.75,65,0.005,0.7650442242257908,364.2693445222923,1.854973615883059,7.633883398125033,0.003,0.0
14,2.125,79,0.012,0.7641472361437378,358.6964907339901,1.6228399746087356,6.849142237702435,0.004,0.0
14,2.5,93,0.037,0.7636497934173094,373.21500252326666,1.4771830414031957,6.471268606198541,0.009,0.0
14,2.875,107,0.067,0.762721896263123,368.83238201758655,1.2735470499345423,5.771783317658249,0.006,0.0
14,3.25,121,0.121,0.7628656746336896,370.1750681370427,1.2604397447596698,5.523109284579598,0.005,0.0
14,3.625,134,0.191,0.7624079192041056,372.9430950026494,1.105255846186994,5.056456928242024,0.008,0.0
14,4.0,148,0.255,0.7621998053267841,376.4099169014297,1.0859374357327862,5.086061957760946,0.007,0.0
14,4.375,162,0.36,0.7621270428339233,418.7025081632863,0.9943804065576414,4.889518130893708,0.01,0.0
14,4.75,176,0.423,0.7620936172922343,368.2052783315097,0.9765651723963732,4.529198560369352,0.007,0.0
14,5.125,190,0.5,0.7620903187196173,395.7651336017182,0.9240582936621836,4.68724701280532,0.013,0.0
14,5.5,204,0.58,0.7621438609586968,406.96670779131875,0.9328569163462912,4.470338717121024,0.009,0.0
14,5.875,218,0.624,0.7620231587628494,414.0826541633536,0.8499471188386282,4.350009701674364,0.011,0.0
14,6.25,231,0.687,0.7619594854100709,387.2964641705315,0.8381888608930415,4.421364491823421,0.006,0.0
14,6.625,245,0.722,0.762091305175901,404.81488287013224,0.809853242672891,4.145991670838301,0.008,0.0
14,7.0,259,0.803,0.7619706577575565,362.52638980989406,0.7902554067033241,4.068109079864756,0.013,0.0
14,7.375,273,0.799,0.7619508842041649,400.33472851964723,0.7710436754196606,4.0876252825413015,0.012,0.0
14,7.75,287,0.843,0.7619174322488358,396.885494910336,0.7359708890923735,4.0177974179982145,0.013,0.0
14,8.125,301,0.869,0.7619227540655882,393.6258022479825,0.7182542760335484,4.012190134273182,0.014,0.0
14,8.5,315,0.874,0.7618940482762202,394.8671670153461,0.712570984978363,3.899596683203063,0.021,0.0
14,8.875,328,0.902,0.7619143825635136,387.3682888886584,0.6971171537530939,3.958125903569227,0.012,0.0
14,9.25,342,0.921,0.7618822103339012,402.9681503826431,0.6702750177629672,3.8430155443535483,0.019,0.0
14,9.625,356,0.924,0.7618921448985465,384.0733363064058,0.6649524381308184,3.8434378379857677,0.014,0.0
14,10.0,370,0.966,0.761852596471051,410.80162648263354,0.644783124606271,3.7961036751288435,0.02,0.0
16,1.0,45,0.0,0.7870773399265585,2540.2400695120177,3.2083048132855954,13.367895005787021,0.0,0.0
16,1.375,61,0.0,0.7680416669322239,1971.059460644955,2.4030210515116908,9.663537191600671,0.0,0.0
16,1.75,78,0.001,0.7644887537316858,2175.604880354628,2.088753158400801,8.611513743519232,0.0,0.0
16,2.125,95,0.015,0.7637456112670201,2027.9274369931518,1.7011068977423214,7.096194951096381,0.0,0.0
16,2.5,111,0.031,0.7635320780160391,2356.6656235663886,1.616883640383052,6.866374592609918,0.001,0.0
16,2.875,128,0.062,0.7629138386590675,2220.4002874745383,1.4664880761038197,6.132613621798176,0.0,0.0
16,3.25,145,0.083,0.7625988611080754,2367.117680742107,1.3288562981249417,5.917513923129173,0.001,0.0
16,3.625,161,0.177,0.7622923129239882,2300.5485514608076,1.2244245566250942,5.550846313049562,0.0,0.0
16,4.0,178,0.234,0.7623666020293757,2359.2334884300535,1.1555285430872062,5.182977883562311,0.0,0.0
16,4.375,195,0.322,0.7622123740555031,2493.629563511168,1.1021449716905938,4.965445046058477,0.0,0.0
16,4.75,211,0.396,0.7620415433991066,2306.6390776643175,1.0364651777469125,4.9068225971662,0.0,0.0
16,5.125,228,0.497,0.7619666614393437,2437.8796311572896,0.9870069857942974,4.728116611500192,0.0,0.0
